execution_rank,gate_id,gate_name,gate_priority_rank,execution_milestone,execution_milestone_rank,execution_milestone_description,queue_rank,priority_band,strategy_id,strategy_support_level,strategy_role,work_package_focus,hardening_requirement,requirement_priority,action_class,dependency_type,dependency_status,required_threshold,observed_value,current_evidence_status,proxy_evidence_available,acceptance_requirement_met,acceptance_ready_now,hardening_status,blocking_gap,required_next_evidence,evidence_summary,evidence_source
239,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",6,P1,S03,partial_missing_required_features,priority,WP8,position_limit_validation,7,guardrail_validation,internal_guardrail_replay_plus_acceptance_thresholds,proxy_to_upgrade,no acceptance-run position-limit breach under current limits,9 severity rows; current_limit_pass_rows=0,proxy_position_limit_summary_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Position exposure is inferred from proxy signal/fill rows and does not prove enforceable position-limit behavior.,Run position-state accounting through the lifecycle engine and verify no limit breach before promotion.,breach_rows=9; high_breach_rows=7; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=1,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
240,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",6,P1,S03,partial_missing_required_features,priority,WP8,tail_loss_validation,8,tail_risk_validation,internal_tail_risk_replay_plus_acceptance_thresholds,proxy_to_upgrade,1pct tail trade loss within current limit and no tail breach under current profile,36 sensitivity rows; all_profile_pass_rows=1; high_limit_rows=30,proxy_tail_loss_sensitivity_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Tail-loss sensitivity is proxy-only and does not prove acceptance-grade tail behavior under broker/exchange fills.,Compute tail-loss distribution from acceptance lifecycle fills and current/strict limit profiles.,breach_rows=9; high_breach_rows=7; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=1,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
241,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",7,P1,S04,partial_missing_required_features,priority,WP8,strategy_full_run_coverage,3,acceptance_run_coverage,internal_full_run_event_lifecycle_engine,proxy_to_upgrade,strategy has lifecycle risk rows across deployable profiles and all fill models,9 lifecycle rows; profiles=3; fill_models=3; support_level=partial_missing_required_features,proxy_full_run_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,"Current coverage is synthetic 5-minute marketable proxy evidence, not broker/exchange-confirmed acceptance evidence.",Run the full event/tick lifecycle engine for every supported strategy/profile/fill model with preserved order and fill lineage.,breach_rows=9; high_breach_rows=9; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
242,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",7,P1,S04,partial_missing_required_features,priority,WP8,daily_equity_curve_and_halt_coverage,4,risk_state_persistence,internal_full_run_event_lifecycle_engine,proxy_to_upgrade,"daily equity curves, halt state and loss-limit state for every traded day",540 daily rows over up to 60 trade dates,proxy_daily_risk_state_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Daily risk state exists only as simulated proxy rows and has not been reconciled to actual order/fill state.,"Persist acceptance-run daily equity curves, halt decisions and resumed/blocked trading state from the event lifecycle engine.",breach_rows=9; high_breach_rows=9; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
243,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",7,P1,S04,partial_missing_required_features,priority,WP8,daily_loss_limit_validation,5,guardrail_validation,internal_guardrail_replay_plus_acceptance_thresholds,proxy_to_upgrade,no acceptance-run daily-loss breach or unhandled halt under current limits,9 severity rows; current_limit_pass_rows=0,proxy_daily_loss_summary_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Daily-loss and halt checks are proxy diagnostics and do not prove deployable halt enforcement.,"Validate daily loss, stop-trading and re-entry behavior from acceptance lifecycle state.",breach_rows=9; high_breach_rows=9; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
244,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",7,P1,S04,partial_missing_required_features,priority,WP8,drawdown_breach_validation,6,guardrail_validation,internal_guardrail_replay_plus_acceptance_thresholds,proxy_to_upgrade,no acceptance-run drawdown breach under current limits,9 severity rows; high_severity_rows=9,proxy_drawdown_breach_summary_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Drawdown summaries are proxy diagnostics and include high-severity rows; no broker/exchange-confirmed drawdown validation exists.,Validate drawdown on acceptance-run equity curves with actual/generated fill provenance and current capital limits.,breach_rows=9; high_breach_rows=9; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
245,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",7,P1,S04,partial_missing_required_features,priority,WP8,position_limit_validation,7,guardrail_validation,internal_guardrail_replay_plus_acceptance_thresholds,proxy_to_upgrade,no acceptance-run position-limit breach under current limits,9 severity rows; current_limit_pass_rows=0,proxy_position_limit_summary_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Position exposure is inferred from proxy signal/fill rows and does not prove enforceable position-limit behavior.,Run position-state accounting through the lifecycle engine and verify no limit breach before promotion.,breach_rows=9; high_breach_rows=9; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
246,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",7,P1,S04,partial_missing_required_features,priority,WP8,tail_loss_validation,8,tail_risk_validation,internal_tail_risk_replay_plus_acceptance_thresholds,proxy_to_upgrade,1pct tail trade loss within current limit and no tail breach under current profile,36 sensitivity rows; all_profile_pass_rows=0; high_limit_rows=33,proxy_tail_loss_sensitivity_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Tail-loss sensitivity is proxy-only and does not prove acceptance-grade tail behavior under broker/exchange fills.,Compute tail-loss distribution from acceptance lifecycle fills and current/strict limit profiles.,breach_rows=9; high_breach_rows=9; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
247,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",8,P1,S06,partial_missing_required_features,priority,WP8,strategy_full_run_coverage,3,acceptance_run_coverage,internal_full_run_event_lifecycle_engine,proxy_to_upgrade,strategy has lifecycle risk rows across deployable profiles and all fill models,9 lifecycle rows; profiles=3; fill_models=3; support_level=partial_missing_required_features,proxy_full_run_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,"Current coverage is synthetic 5-minute marketable proxy evidence, not broker/exchange-confirmed acceptance evidence.",Run the full event/tick lifecycle engine for every supported strategy/profile/fill model with preserved order and fill lineage.,breach_rows=9; high_breach_rows=2; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=7,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
248,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",8,P1,S06,partial_missing_required_features,priority,WP8,daily_equity_curve_and_halt_coverage,4,risk_state_persistence,internal_full_run_event_lifecycle_engine,proxy_to_upgrade,"daily equity curves, halt state and loss-limit state for every traded day",486 daily rows over up to 54 trade dates,proxy_daily_risk_state_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Daily risk state exists only as simulated proxy rows and has not been reconciled to actual order/fill state.,"Persist acceptance-run daily equity curves, halt decisions and resumed/blocked trading state from the event lifecycle engine.",breach_rows=9; high_breach_rows=2; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=7,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
249,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",8,P1,S06,partial_missing_required_features,priority,WP8,daily_loss_limit_validation,5,guardrail_validation,internal_guardrail_replay_plus_acceptance_thresholds,proxy_to_upgrade,no acceptance-run daily-loss breach or unhandled halt under current limits,9 severity rows; current_limit_pass_rows=0,proxy_daily_loss_summary_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Daily-loss and halt checks are proxy diagnostics and do not prove deployable halt enforcement.,"Validate daily loss, stop-trading and re-entry behavior from acceptance lifecycle state.",breach_rows=9; high_breach_rows=2; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=7,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
250,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",8,P1,S06,partial_missing_required_features,priority,WP8,drawdown_breach_validation,6,guardrail_validation,internal_guardrail_replay_plus_acceptance_thresholds,proxy_to_upgrade,no acceptance-run drawdown breach under current limits,9 severity rows; high_severity_rows=2,proxy_drawdown_breach_summary_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Drawdown summaries are proxy diagnostics and include high-severity rows; no broker/exchange-confirmed drawdown validation exists.,Validate drawdown on acceptance-run equity curves with actual/generated fill provenance and current capital limits.,breach_rows=9; high_breach_rows=2; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=7,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
251,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",8,P1,S06,partial_missing_required_features,priority,WP8,position_limit_validation,7,guardrail_validation,internal_guardrail_replay_plus_acceptance_thresholds,proxy_to_upgrade,no acceptance-run position-limit breach under current limits,9 severity rows; current_limit_pass_rows=0,proxy_position_limit_summary_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Position exposure is inferred from proxy signal/fill rows and does not prove enforceable position-limit behavior.,Run position-state accounting through the lifecycle engine and verify no limit breach before promotion.,breach_rows=9; high_breach_rows=2; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=7,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
252,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",8,P1,S06,partial_missing_required_features,priority,WP8,tail_loss_validation,8,tail_risk_validation,internal_tail_risk_replay_plus_acceptance_thresholds,proxy_to_upgrade,1pct tail trade loss within current limit and no tail breach under current profile,36 sensitivity rows; all_profile_pass_rows=7; high_limit_rows=14,proxy_tail_loss_sensitivity_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Tail-loss sensitivity is proxy-only and does not prove acceptance-grade tail behavior under broker/exchange fills.,Compute tail-loss distribution from acceptance lifecycle fills and current/strict limit profiles.,breach_rows=9; high_breach_rows=2; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=7,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
253,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",9,P1,S08,partial_missing_required_features,research,WP8,strategy_full_run_coverage,3,acceptance_run_coverage,internal_full_run_event_lifecycle_engine,proxy_to_upgrade,strategy has lifecycle risk rows across deployable profiles and all fill models,9 lifecycle rows; profiles=3; fill_models=3; support_level=partial_missing_required_features,proxy_full_run_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,"Current coverage is synthetic 5-minute marketable proxy evidence, not broker/exchange-confirmed acceptance evidence.",Run the full event/tick lifecycle engine for every supported strategy/profile/fill model with preserved order and fill lineage.,breach_rows=9; high_breach_rows=8; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=1,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
254,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",9,P1,S08,partial_missing_required_features,research,WP8,daily_equity_curve_and_halt_coverage,4,risk_state_persistence,internal_full_run_event_lifecycle_engine,proxy_to_upgrade,"daily equity curves, halt state and loss-limit state for every traded day",567 daily rows over up to 63 trade dates,proxy_daily_risk_state_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Daily risk state exists only as simulated proxy rows and has not been reconciled to actual order/fill state.,"Persist acceptance-run daily equity curves, halt decisions and resumed/blocked trading state from the event lifecycle engine.",breach_rows=9; high_breach_rows=8; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=1,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
255,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",9,P1,S08,partial_missing_required_features,research,WP8,daily_loss_limit_validation,5,guardrail_validation,internal_guardrail_replay_plus_acceptance_thresholds,proxy_to_upgrade,no acceptance-run daily-loss breach or unhandled halt under current limits,9 severity rows; current_limit_pass_rows=0,proxy_daily_loss_summary_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Daily-loss and halt checks are proxy diagnostics and do not prove deployable halt enforcement.,"Validate daily loss, stop-trading and re-entry behavior from acceptance lifecycle state.",breach_rows=9; high_breach_rows=8; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=1,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
256,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",9,P1,S08,partial_missing_required_features,research,WP8,drawdown_breach_validation,6,guardrail_validation,internal_guardrail_replay_plus_acceptance_thresholds,proxy_to_upgrade,no acceptance-run drawdown breach under current limits,9 severity rows; high_severity_rows=8,proxy_drawdown_breach_summary_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Drawdown summaries are proxy diagnostics and include high-severity rows; no broker/exchange-confirmed drawdown validation exists.,Validate drawdown on acceptance-run equity curves with actual/generated fill provenance and current capital limits.,breach_rows=9; high_breach_rows=8; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=1,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
257,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",9,P1,S08,partial_missing_required_features,research,WP8,position_limit_validation,7,guardrail_validation,internal_guardrail_replay_plus_acceptance_thresholds,proxy_to_upgrade,no acceptance-run position-limit breach under current limits,9 severity rows; current_limit_pass_rows=0,proxy_position_limit_summary_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Position exposure is inferred from proxy signal/fill rows and does not prove enforceable position-limit behavior.,Run position-state accounting through the lifecycle engine and verify no limit breach before promotion.,breach_rows=9; high_breach_rows=8; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=1,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
258,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",9,P1,S08,partial_missing_required_features,research,WP8,tail_loss_validation,8,tail_risk_validation,internal_tail_risk_replay_plus_acceptance_thresholds,proxy_to_upgrade,1pct tail trade loss within current limit and no tail breach under current profile,36 sensitivity rows; all_profile_pass_rows=1; high_limit_rows=28,proxy_tail_loss_sensitivity_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Tail-loss sensitivity is proxy-only and does not prove acceptance-grade tail behavior under broker/exchange fills.,Compute tail-loss distribution from acceptance lifecycle fills and current/strict limit profiles.,breach_rows=9; high_breach_rows=8; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=1,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
259,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",10,P1,S10,not_supported_by_current_product,research_only,WP8,strategy_full_run_coverage,3,acceptance_run_coverage,internal_full_run_event_lifecycle_engine,missing_required_evidence,strategy has lifecycle risk rows across deployable profiles and all fill models,0 lifecycle rows; profiles=0; fill_models=0; support_level=not_supported_by_current_product,missing_current_proxy_run,False,False,False,missing_required_acceptance_evidence,"Current coverage is synthetic 5-minute marketable proxy evidence, not broker/exchange-confirmed acceptance evidence.",Run the full event/tick lifecycle engine for every supported strategy/profile/fill model with preserved order and fill lineage.,breach_rows=0; high_breach_rows=0; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
260,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",10,P1,S10,not_supported_by_current_product,research_only,WP8,daily_equity_curve_and_halt_coverage,4,risk_state_persistence,internal_full_run_event_lifecycle_engine,missing_required_evidence,"daily equity curves, halt state and loss-limit state for every traded day",0 daily rows over up to 0 trade dates,missing_daily_risk_state,False,False,False,missing_required_acceptance_evidence,Daily risk state exists only as simulated proxy rows and has not been reconciled to actual order/fill state.,"Persist acceptance-run daily equity curves, halt decisions and resumed/blocked trading state from the event lifecycle engine.",breach_rows=0; high_breach_rows=0; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
261,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",10,P1,S10,not_supported_by_current_product,research_only,WP8,daily_loss_limit_validation,5,guardrail_validation,internal_guardrail_replay_plus_acceptance_thresholds,missing_required_evidence,no acceptance-run daily-loss breach or unhandled halt under current limits,0 severity rows; current_limit_pass_rows=0,missing_daily_loss_summary,False,False,False,missing_required_acceptance_evidence,Daily-loss and halt checks are proxy diagnostics and do not prove deployable halt enforcement.,"Validate daily loss, stop-trading and re-entry behavior from acceptance lifecycle state.",breach_rows=0; high_breach_rows=0; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
262,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",10,P1,S10,not_supported_by_current_product,research_only,WP8,drawdown_breach_validation,6,guardrail_validation,internal_guardrail_replay_plus_acceptance_thresholds,missing_required_evidence,no acceptance-run drawdown breach under current limits,0 severity rows; high_severity_rows=0,missing_drawdown_summary,False,False,False,missing_required_acceptance_evidence,Drawdown summaries are proxy diagnostics and include high-severity rows; no broker/exchange-confirmed drawdown validation exists.,Validate drawdown on acceptance-run equity curves with actual/generated fill provenance and current capital limits.,breach_rows=0; high_breach_rows=0; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
263,G04_risk,risk,1,M05_full_lifecycle_risk_and_economic_replay,5,"Run full event/lifecycle risk, guardrail, slippage, tail-risk and risk-adjusted economic acceptance replays.",10,P1,S10,not_supported_by_current_product,research_only,WP8,position_limit_validation,7,guardrail_validation,internal_guardrail_replay_plus_acceptance_thresholds,missing_required_evidence,no acceptance-run position-limit breach under current limits,0 severity rows; current_limit_pass_rows=0,missing_position_limit_summary,False,False,False,missing_required_acceptance_evidence,Position exposure is inferred from proxy signal/fill rows and does not prove enforceable position-limit behavior.,Run position-state accounting through the lifecycle engine and verify no limit breach before promotion.,breach_rows=0; high_breach_rows=0; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
